Location,Cases,Case Range,AsOf
Alabama,53,51 to 100,Data as of 23 Aug 2022 2:00 PM EDT
Alaska,3,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Arizona,270,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Arkansas,23,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
California,2663,>500,Data as of 23 Aug 2022 2:00 PM EDT
Colorado,155,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Connecticut,83,51 to 100,Data as of 23 Aug 2022 2:00 PM EDT
Delaware,19,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
District of Columbia,402,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Florida,1638,>500,Data as of 23 Aug 2022 2:00 PM EDT
Georgia,1220,>500,Data as of 23 Aug 2022 2:00 PM EDT
Hawaii,15,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Idaho,9,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Illinois,970,>500,Data as of 23 Aug 2022 2:00 PM EDT
Indiana,134,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Iowa,16,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Kansas,4,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Kentucky,23,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Louisiana,151,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Maine,5,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Maryland,431,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Massachusetts,265,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Michigan,143,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Minnesota,103,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Mississippi,21,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Missouri,38,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Nebraska,23,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Nevada,124,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
New Hampshire,16,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
New Jersey,420,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
New Mexico,19,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
New York,3019,>500,Data as of 23 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
North Carolina,261,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
North Dakota,4,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Ohio,139,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Oklahoma,20,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Oregon,141,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Pennsylvania,443,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Puerto Rico,77,51 to 100,Data as of 23 Aug 2022 2:00 PM EDT
Rhode Island,40,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
South Carolina,90,51 to 100,Data as of 23 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Tennessee,139,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Texas,1340,>500,Data as of 23 Aug 2022 2:00 PM EDT
Total,15909,,Data as of 23 Aug 2022 2:00 PM EDT
Utah,89,51 to 100,Data as of 23 Aug 2022 2:00 PM EDT
Vermont,2,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Virginia,263,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
Washington,328,101 to 500,Data as of 23 Aug 2022 2:00 PM EDT
West Virginia,4,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
Wisconsin,43,11 to 50,Data as of 23 Aug 2022 2:00 PM EDT
Wyoming,1,1 to 10,Data as of 23 Aug 2022 2:00 PM EDT
