Location,Cases,Case_Range,AsOf
Non-US Resident,0,0,Data as of October 26 2023 at 2:00 pm EDT
Alabama,194,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Arizona,595,>500,Data as of October 26 2023 at 2:00 pm EDT
Arkansas,79,51 to 100,Data as of October 26 2023 at 2:00 pm EDT
California,5905,>500,Data as of October 26 2023 at 2:00 pm EDT
Colorado,414,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Connecticut,148,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Delaware,44,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
District of Columbia,543,>500,Data as of October 26 2023 at 2:00 pm EDT
Florida,2919,>500,Data as of October 26 2023 at 2:00 pm EDT
Georgia,2011,>500,Data as of October 26 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Idaho,15,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Illinois,1541,>500,Data as of October 26 2023 at 2:00 pm EDT
Indiana,291,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Kentucky,109,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Louisiana,318,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Maryland,757,>500,Data as of October 26 2023 at 2:00 pm EDT
Massachusetts,469,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Michigan,399,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Minnesota,245,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Mississippi,109,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Missouri,225,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Nebraska,32,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Nevada,324,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
New Hampshire,35,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
New Jersey,782,>500,Data as of October 26 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of October 26 2023 at 2:00 pm EDT
New York,4345,>500,Data as of October 26 2023 at 2:00 pm EDT
North Carolina,711,>500,Data as of October 26 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Ohio,398,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Oklahoma,77,51 to 100,Data as of October 26 2023 at 2:00 pm EDT
Oregon,295,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Pennsylvania,872,>500,Data as of October 26 2023 at 2:00 pm EDT
Puerto Rico,207,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Rhode Island,85,51 to 100,Data as of October 26 2023 at 2:00 pm EDT
South Carolina,239,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Tennessee,400,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Texas,3079,>500,Data as of October 26 2023 at 2:00 pm EDT
Utah,197,101 to 500,Data as of October 26 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Virginia,575,>500,Data as of October 26 2023 at 2:00 pm EDT
Washington,709,>500,Data as of October 26 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of October 26 2023 at 2:00 pm EDT
Wisconsin,93,51 to 100,Data as of October 26 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of October 26 2023 at 2:00 pm EDT
Total,31010,,Data as of October 26 2023 at 2:00 pm EDT
