Jurisdiction,"Total Allocated Vialsas of Sep 14 2022, 12pm","Total Requestedas of Sep 14 2022, 12pm","Total Shippedas of Sep 14 2022, 12pm"
All Jurisdictions,"1,090,190","813,313","807,093"
Alabama,"6,163","3,703","3,703"
Alaska,660,500,500
American Samoa,40,40,40
Arizona,"16,433","11,633","11,633"
Arkansas,"3,280","2,460","2,460"
California,"112,309","99,909","99,909"
California - Los Angeles,"73,802","65,522","65,522"
Colorado,"18,145","12,805","12,805"
Connecticut,"6,328","4,888","4,888"
Delaware,"1,895","1,175","1,175"
District of Columbia,"28,995","25,795","25,795"
Federated States of Micronesia,0,-,-
Florida,"112,680","74,720","74,720"
Georgia,"53,542","31,642","31,642"
Guam,120,80,60
Hawaii,"3,852","3,192","3,192"
Idaho,"2,000","1,360","1,360"
Illinois,"19,198","14,298","14,298"
Illinois - Chicago,"50,469","40,109","40,109"
Indiana,"11,872","7,812","7,812"
Iowa,"2,441","1,681","1,681"
Kansas,"2,156","1,656","1,656"
Kentucky,"6,140","3,780","3,780"
Louisiana,"11,882","8,862","8,862"
Maine,"1,411","1,071","1,071"
Marshall Islands,0,-,-
Maryland,"23,299","14,539","14,539"
Massachusetts,"24,171","18,311","18,311"
Michigan,"14,318","8,878","8,878"
Minnesota,"10,658","6,958","6,958"
Mississippi,"3,161","1,821","1,821"
Missouri,"9,073","6,053","6,053"
Montana,778,478,478
Nebraska,"1,641","1,281","1,281"
Nevada,"8,642","6,062","6,062"
New Hampshire,"1,467","1,067","1,067"
New Jersey,"22,269","16,149","16,149"
New Mexico,"3,436","2,696","2,496"
New York,"43,375","34,695","34,695"
New York - New York City,"118,444","97,764","97,764"
North Carolina,"20,288","15,948","15,948"
North Dakota,555,335,335
Northern Mariana Islands,60,40,40
Ohio,"18,713","12,573","12,573"
Oklahoma,"5,316","4,196","4,196"
Oregon,"11,498","9,078","9,078"
Palau,0,-,-
Pennsylvania,"16,747","13,171","13,171"
Pennsylvania - Philadelphia,"10,638","6,630","6,630"
Puerto Rico,"5,367","2,807","2,807"
Rhode Island,"4,014","2,154","2,154"
South Carolina,"6,387","4,287","4,287"
South Dakota,"1,711",291,291
Tennessee,"17,602","6,762","6,762"
Texas,"50,814","43,314","37,314"
Texas - Houston,"27,026","14,146","14,146"
Tribal Entities,93,-,-
U.S. Virgin Islands,240,180,180
Utah,"6,169","4,449","4,449"
Vermont,"2,006",846,846
Virginia,"22,259","15,339","15,339"
Washington,"23,930","16,210","16,210"
West Virginia,"2,277","1,057","1,057"
Wisconsin,"5,614","3,854","3,854"
Wyoming,321,201,201
