Jurisdiction,"Total Allocated Vial​sas of Oct 07 2022, 12pm","Total Requestedas of Oct 07 2022, 12pm","Total Shippedas of Oct 07 2022, 12pm"
All Jurisdictions,"1,091,550","838,613","838,513"
Alabama,"6,163","3,703","3,703"
Alaska,660,600,600
American Samoa,40,40,40
Arizona,"16,433","11,653","11,633"
Arkansas,"3,280","2,460","2,460"
California,"112,309","108,189","108,189"
California - Los Angeles,"73,802","65,522","65,522"
Colorado,"18,145","12,805","12,805"
Connecticut,"6,328","6,328","6,328"
Delaware,"1,895","1,415","1,415"
District of Columbia,"28,995","27,415","27,415"
Federated States of Micronesia,20,20,20
Florida,"112,680","74,720","74,720"
Georgia,"54,482","31,642","31,642"
Guam,120,80,80
Hawaii,"3,852","3,212","3,212"
Idaho,"2,000","1,360","1,360"
Illinois,"19,198","15,298","15,298"
Illinois - Chicago,"50,469","40,109","40,109"
Indiana,"11,872","7,812","7,812"
Iowa,"2,441","1,901","1,901"
Kansas,"2,156","1,656","1,656"
Kentucky,"6,140","3,780","3,780"
Louisiana,"11,882","8,862","8,862"
Maine,"1,411","1,151","1,111"
Marshall Islands,20,20,20
Maryland,"23,299","14,539","14,539"
Massachusetts,"24,451","18,311","18,311"
Michigan,"14,318","9,378","9,378"
Minnesota,"10,658","6,958","6,958"
Mississippi,"3,241","1,821","1,821"
Missouri,"9,073","6,053","6,053"
Montana,778,478,478
Nebraska,"1,641","1,421","1,421"
Nevada,"8,642","6,062","6,062"
New Hampshire,"1,467","1,067","1,067"
New Jersey,"22,269","16,149","16,149"
New Mexico,"3,436","2,896","2,896"
New York,"43,375","34,695","34,695"
New York - New York City,"118,444","103,104","103,104"
North Carolina,"20,288","16,528","16,528"
North Dakota,555,375,375
Northern Mariana Islands,60,40,40
Ohio,"18,713","12,573","12,573"
Oklahoma,"5,316","4,756","4,756"
Oregon,"11,498","9,898","9,858"
Palau,20,20,20
Pennsylvania,"16,747","13,271","13,271"
Pennsylvania - Philadelphia,"10,638","6,630","6,630"
Puerto Rico,"5,367","3,267","3,267"
Rhode Island,"4,014","2,774","2,774"
South Carolina,"6,387","4,287","4,287"
South Dakota,"1,711",291,291
Tennessee,"17,602","6,762","6,762"
Texas,"50,814","43,314","43,314"
Texas - Houston,"27,026","14,146","14,146"
Tribal Entities,93,-,-
U.S. Virgin Islands,240,180,180
Utah,"6,169","4,449","4,449"
Vermont,"2,006",846,846
Virginia,"22,259","15,339","15,339"
Washington,"23,930","18,430","18,430"
West Virginia,"2,277","1,057","1,057"
Wisconsin,"5,614","4,454","4,454"
Wyoming,321,241,241
