EpidateDT,CaseCNT,,ReportDT
2022-05-15,1,Data as of 8/17/2022,2022-08-20
2022-05-16,0,Data as of 8/17/2022,2022-08-20
2022-05-17,1,Data as of 8/17/2022,2022-08-20
2022-05-18,0,Data as of 8/17/2022,2022-08-20
2022-05-19,1,Data as of 8/17/2022,2022-08-20
2022-05-20,2,Data as of 8/17/2022,2022-08-20
2022-05-21,2,Data as of 8/17/2022,2022-08-20
2022-05-22,2,Data as of 8/17/2022,2022-08-20
2022-05-23,3,Data as of 8/17/2022,2022-08-20
2022-05-24,1,Data as of 8/17/2022,2022-08-20
2022-05-25,2,Data as of 8/17/2022,2022-08-20
2022-05-26,2,Data as of 8/17/2022,2022-08-20
2022-05-27,2,Data as of 8/17/2022,2022-08-20
2022-05-28,0,Data as of 8/17/2022,2022-08-20
2022-05-29,2,Data as of 8/17/2022,2022-08-20
2022-05-30,1,Data as of 8/17/2022,2022-08-20
2022-05-31,6,Data as of 8/17/2022,2022-08-20
2022-06-01,2,Data as of 8/17/2022,2022-08-20
2022-06-02,5,Data as of 8/17/2022,2022-08-20
2022-06-03,6,Data as of 8/17/2022,2022-08-20
2022-06-04,1,Data as of 8/17/2022,2022-08-20
2022-06-05,1,Data as of 8/17/2022,2022-08-20
2022-06-06,7,Data as of 8/17/2022,2022-08-20
2022-06-07,9,Data as of 8/17/2022,2022-08-20
2022-06-08,14,Data as of 8/17/2022,2022-08-20
2022-06-09,7,Data as of 8/17/2022,2022-08-20
2022-06-10,12,Data as of 8/17/2022,2022-08-20
2022-06-11,5,Data as of 8/17/2022,2022-08-20
2022-06-12,4,Data as of 8/17/2022,2022-08-20
2022-06-13,8,Data as of 8/17/2022,2022-08-20
2022-06-14,21,Data as of 8/17/2022,2022-08-20
2022-06-15,15,Data as of 8/17/2022,2022-08-20
2022-06-16,17,Data as of 8/17/2022,2022-08-20
2022-06-17,13,Data as of 8/17/2022,2022-08-20
2022-06-18,15,Data as of 8/17/2022,2022-08-20
2022-06-19,5,Data as of 8/17/2022,2022-08-20
2022-06-20,15,Data as of 8/17/2022,2022-08-20
2022-06-21,22,Data as of 8/17/2022,2022-08-20
2022-06-22,27,Data as of 8/17/2022,2022-08-20
2022-06-23,25,Data as of 8/17/2022,2022-08-20
2022-06-24,49,Data as of 8/17/2022,2022-08-20
2022-06-25,25,Data as of 8/17/2022,2022-08-20
2022-06-26,23,Data as of 8/17/2022,2022-08-20
2022-06-27,91,Data as of 8/17/2022,2022-08-20
2022-06-28,59,Data as of 8/17/2022,2022-08-20
2022-06-29,69,Data as of 8/17/2022,2022-08-20
2022-06-30,100,Data as of 8/17/2022,2022-08-20
2022-07-01,115,Data as of 8/17/2022,2022-08-20
2022-07-02,74,Data as of 8/17/2022,2022-08-20
2022-07-03,58,Data as of 8/17/2022,2022-08-20
2022-07-04,81,Data as of 8/17/2022,2022-08-20
2022-07-05,121,Data as of 8/17/2022,2022-08-20
2022-07-06,132,Data as of 8/17/2022,2022-08-20
2022-07-07,130,Data as of 8/17/2022,2022-08-20
2022-07-08,170,Data as of 8/17/2022,2022-08-20
2022-07-09,116,Data as of 8/17/2022,2022-08-20
2022-07-10,85,Data as of 8/17/2022,2022-08-20
2022-07-11,233,Data as of 8/17/2022,2022-08-20
2022-07-12,169,Data as of 8/17/2022,2022-08-20
2022-07-13,212,Data as of 8/17/2022,2022-08-20
2022-07-14,231,Data as of 8/17/2022,2022-08-20
2022-07-15,239,Data as of 8/17/2022,2022-08-20
2022-07-16,133,Data as of 8/17/2022,2022-08-20
2022-07-17,113,Data as of 8/17/2022,2022-08-20
2022-07-18,379,Data as of 8/17/2022,2022-08-20
2022-07-19,245,Data as of 8/17/2022,2022-08-20
2022-07-20,281,Data as of 8/17/2022,2022-08-20
2022-07-21,245,Data as of 8/17/2022,2022-08-20
2022-07-22,319,Data as of 8/17/2022,2022-08-20
2022-07-23,150,Data as of 8/17/2022,2022-08-20
2022-07-24,110,Data as of 8/17/2022,2022-08-20
2022-07-25,407,Data as of 8/17/2022,2022-08-20
2022-07-26,378,Data as of 8/17/2022,2022-08-20
2022-07-27,460,Data as of 8/17/2022,2022-08-20
2022-07-28,299,Data as of 8/17/2022,2022-08-20
2022-07-29,400,Data as of 8/17/2022,2022-08-20
2022-07-30,160,Data as of 8/17/2022,2022-08-20
2022-07-31,149,Data as of 8/17/2022,2022-08-20
2022-08-01,473,Data as of 8/17/2022,2022-08-20
2022-08-02,438,Data as of 8/17/2022,2022-08-20
2022-08-03,426,Data as of 8/17/2022,2022-08-20
2022-08-04,436,Data as of 8/17/2022,2022-08-20
2022-08-05,424,Data as of 8/17/2022,2022-08-20
2022-08-06,138,Data as of 8/17/2022,2022-08-20
2022-08-07,78,Data as of 8/17/2022,2022-08-20
2022-08-08,754,Data as of 8/17/2022,2022-08-20
2022-08-09,409,Data as of 8/17/2022,2022-08-20
2022-08-10,366,Data as of 8/17/2022,2022-08-20
2022-08-11,314,Data as of 8/17/2022,2022-08-20
2022-08-12,280,Data as of 8/17/2022,2022-08-20
2022-08-13,39,Data as of 8/17/2022,2022-08-20
2022-08-14,10,Data as of 8/17/2022,2022-08-20
2022-08-15,670,Data as of 8/17/2022,2022-08-20
2022-08-16,361,Data as of 8/17/2022,2022-08-20
2022-08-17,347,Data as of 8/17/2022,2022-08-20
