EpidateDT,CaseCNT,UpdateDT,ReportDT
2022-05-17,1,Data as of 9/14/2022,2022-09-14
2022-05-18,0,Data as of 9/14/2022,2022-09-14
2022-05-19,1,Data as of 9/14/2022,2022-09-14
2022-05-20,4,Data as of 9/14/2022,2022-09-14
2022-05-21,0,Data as of 9/14/2022,2022-09-14
2022-05-22,1,Data as of 9/14/2022,2022-09-14
2022-05-23,3,Data as of 9/14/2022,2022-09-14
2022-05-24,1,Data as of 9/14/2022,2022-09-14
2022-05-25,2,Data as of 9/14/2022,2022-09-14
2022-05-26,2,Data as of 9/14/2022,2022-09-14
2022-05-27,4,Data as of 9/14/2022,2022-09-14
2022-05-28,0,Data as of 9/14/2022,2022-09-14
2022-05-29,3,Data as of 9/14/2022,2022-09-14
2022-05-30,3,Data as of 9/14/2022,2022-09-14
2022-05-31,6,Data as of 9/14/2022,2022-09-14
2022-06-01,5,Data as of 9/14/2022,2022-09-14
2022-06-02,9,Data as of 9/14/2022,2022-09-14
2022-06-03,6,Data as of 9/14/2022,2022-09-14
2022-06-04,1,Data as of 9/14/2022,2022-09-14
2022-06-05,3,Data as of 9/14/2022,2022-09-14
2022-06-06,12,Data as of 9/14/2022,2022-09-14
2022-06-07,7,Data as of 9/14/2022,2022-09-14
2022-06-08,8,Data as of 9/14/2022,2022-09-14
2022-06-09,4,Data as of 9/14/2022,2022-09-14
2022-06-10,13,Data as of 9/14/2022,2022-09-14
2022-06-11,12,Data as of 9/14/2022,2022-09-14
2022-06-12,9,Data as of 9/14/2022,2022-09-14
2022-06-13,13,Data as of 9/14/2022,2022-09-14
2022-06-14,19,Data as of 9/14/2022,2022-09-14
2022-06-15,18,Data as of 9/14/2022,2022-09-14
2022-06-16,15,Data as of 9/14/2022,2022-09-14
2022-06-17,20,Data as of 9/14/2022,2022-09-14
2022-06-18,16,Data as of 9/14/2022,2022-09-14
2022-06-19,15,Data as of 9/14/2022,2022-09-14
2022-06-20,13,Data as of 9/14/2022,2022-09-14
2022-06-21,17,Data as of 9/14/2022,2022-09-14
2022-06-22,22,Data as of 9/14/2022,2022-09-14
2022-06-23,34,Data as of 9/14/2022,2022-09-14
2022-06-24,36,Data as of 9/14/2022,2022-09-14
2022-06-25,28,Data as of 9/14/2022,2022-09-14
2022-06-26,19,Data as of 9/14/2022,2022-09-14
2022-06-27,58,Data as of 9/14/2022,2022-09-14
2022-06-28,59,Data as of 9/14/2022,2022-09-14
2022-06-29,62,Data as of 9/14/2022,2022-09-14
2022-06-30,69,Data as of 9/14/2022,2022-09-14
2022-07-01,60,Data as of 9/14/2022,2022-09-14
2022-07-02,46,Data as of 9/14/2022,2022-09-14
2022-07-03,47,Data as of 9/14/2022,2022-09-14
2022-07-04,43,Data as of 9/14/2022,2022-09-14
2022-07-05,90,Data as of 9/14/2022,2022-09-14
2022-07-06,84,Data as of 9/14/2022,2022-09-14
2022-07-07,83,Data as of 9/14/2022,2022-09-14
2022-07-08,122,Data as of 9/14/2022,2022-09-14
2022-07-09,70,Data as of 9/14/2022,2022-09-14
2022-07-10,55,Data as of 9/14/2022,2022-09-14
2022-07-11,186,Data as of 9/14/2022,2022-09-14
2022-07-12,180,Data as of 9/14/2022,2022-09-14
2022-07-13,182,Data as of 9/14/2022,2022-09-14
2022-07-14,201,Data as of 9/14/2022,2022-09-14
2022-07-15,233,Data as of 9/14/2022,2022-09-14
2022-07-16,126,Data as of 9/14/2022,2022-09-14
2022-07-17,69,Data as of 9/14/2022,2022-09-14
2022-07-18,286,Data as of 9/14/2022,2022-09-14
2022-07-19,265,Data as of 9/14/2022,2022-09-14
2022-07-20,288,Data as of 9/14/2022,2022-09-14
2022-07-21,241,Data as of 9/14/2022,2022-09-14
2022-07-22,346,Data as of 9/14/2022,2022-09-14
2022-07-23,167,Data as of 9/14/2022,2022-09-14
2022-07-24,86,Data as of 9/14/2022,2022-09-14
2022-07-25,520,Data as of 9/14/2022,2022-09-14
2022-07-26,365,Data as of 9/14/2022,2022-09-14
2022-07-27,466,Data as of 9/14/2022,2022-09-14
2022-07-28,329,Data as of 9/14/2022,2022-09-14
2022-07-29,403,Data as of 9/14/2022,2022-09-14
2022-07-30,205,Data as of 9/14/2022,2022-09-14
2022-07-31,137,Data as of 9/14/2022,2022-09-14
2022-08-01,607,Data as of 9/14/2022,2022-09-14
2022-08-02,437,Data as of 9/14/2022,2022-09-14
2022-08-03,510,Data as of 9/14/2022,2022-09-14
2022-08-04,534,Data as of 9/14/2022,2022-09-14
2022-08-05,454,Data as of 9/14/2022,2022-09-14
2022-08-06,164,Data as of 9/14/2022,2022-09-14
2022-08-07,146,Data as of 9/14/2022,2022-09-14
2022-08-08,783,Data as of 9/14/2022,2022-09-14
2022-08-09,498,Data as of 9/14/2022,2022-09-14
2022-08-10,649,Data as of 9/14/2022,2022-09-14
2022-08-11,399,Data as of 9/14/2022,2022-09-14
2022-08-12,490,Data as of 9/14/2022,2022-09-14
2022-08-13,210,Data as of 9/14/2022,2022-09-14
2022-08-14,151,Data as of 9/14/2022,2022-09-14
2022-08-15,789,Data as of 9/14/2022,2022-09-14
2022-08-16,390,Data as of 9/14/2022,2022-09-14
2022-08-17,484,Data as of 9/14/2022,2022-09-14
2022-08-18,419,Data as of 9/14/2022,2022-09-14
2022-08-19,416,Data as of 9/14/2022,2022-09-14
2022-08-20,152,Data as of 9/14/2022,2022-09-14
2022-08-21,99,Data as of 9/14/2022,2022-09-14
2022-08-22,923,Data as of 9/14/2022,2022-09-14
2022-08-23,636,Data as of 9/14/2022,2022-09-14
2022-08-24,349,Data as of 9/14/2022,2022-09-14
2022-08-25,466,Data as of 9/14/2022,2022-09-14
2022-08-26,331,Data as of 9/14/2022,2022-09-14
2022-08-27,90,Data as of 9/14/2022,2022-09-14
2022-08-28,47,Data as of 9/14/2022,2022-09-14
2022-08-29,560,Data as of 9/14/2022,2022-09-14
2022-08-30,412,Data as of 9/14/2022,2022-09-14
2022-08-31,252,Data as of 9/14/2022,2022-09-14
2022-09-01,576,Data as of 9/14/2022,2022-09-14
2022-09-02,375,Data as of 9/14/2022,2022-09-14
2022-09-03,49,Data as of 9/14/2022,2022-09-14
2022-09-04,25,Data as of 9/14/2022,2022-09-14
2022-09-05,29,Data as of 9/14/2022,2022-09-14
2022-09-06,742,Data as of 9/14/2022,2022-09-14
2022-09-07,273,Data as of 9/14/2022,2022-09-14
2022-09-08,291,Data as of 9/14/2022,2022-09-14
2022-09-09,248,Data as of 9/14/2022,2022-09-14
2022-09-10,29,Data as of 9/14/2022,2022-09-14
2022-09-11,26,Data as of 9/14/2022,2022-09-14
2022-09-12,301,Data as of 9/14/2022,2022-09-14
2022-09-13,218,Data as of 9/14/2022,2022-09-14
2022-09-14,78,Data as of 9/14/2022,2022-09-14
