EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-11,3,0,4,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-12,2,0,6,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-13,0,0,6,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-14,0,0,6,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-15,1,0,7,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-16,6,1.857142857,13,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-17,3,2.142857143,16,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-18,2,2,18,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-19,3,2.142857143,21,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-20,0,2.142857143,21,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-21,1,2.285714286,22,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-22,1,2.285714286,23,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-23,3,1.857142857,26,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-24,4,2,30,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-25,4,2.285714286,34,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-26,2,2.142857143,36,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-27,4,2.714285714,40,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-28,0,2.571428571,40,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-29,6,3.285714286,46,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-30,5,3.571428571,51,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-05-31,6,3.857142857,57,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-01,11,4.857142857,68,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-02,12,6.285714286,80,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-03,6,6.571428571,86,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-04,4,7.142857143,90,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-05,5,7,95,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
2022-06-06,22,9.428571429,117,Data as Reported to CDC as of 25 Jan 2023 2:00 PM EDT,2023-01-27
