EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-11,5,0,6,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-12,0,0,6,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-13,0,0,6,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-14,0,0,6,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-15,2,0,8,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-16,7,2.142857143,15,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-17,3,2.428571429,18,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-18,2,2,20,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-19,3,2.428571429,23,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-20,0,2.428571429,23,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-21,1,2.571428571,24,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-22,1,2.428571429,25,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-23,3,1.857142857,28,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-24,4,2,32,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-25,2,2,34,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-26,2,1.857142857,36,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-27,4,2.428571429,40,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-28,0,2.285714286,40,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-29,6,3,46,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-30,8,3.714285714,54,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-05-31,5,3.857142857,59,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-01,10,5,69,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-02,12,6.428571429,81,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-03,7,6.857142857,88,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-04,5,7.571428571,93,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-05,6,7.571428571,99,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-06,20,9.285714286,119,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-07,19,11.28571429,138,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-08,12,11.57142857,150,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-09,6,10.71428571,156,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-10,24,13.14285714,180,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-11,11,14,191,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-12,27,17,218,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-13,25,17.71428571,243,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-14,26,18.71428571,269,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-15,33,21.71428571,302,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-16,26,24.57142857,328,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-17,33,25.85714286,361,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-18,25,27.85714286,386,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-19,36,29.14285714,422,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-20,43,31.71428571,465,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-21,43,34.14285714,508,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-22,62,38.28571429,570,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-23,56,42.57142857,626,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-24,50,45,676,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-25,55,49.28571429,731,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-26,64,53.28571429,795,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-27,96,60.85714286,891,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-28,90,67.57142857,981,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-29,78,69.85714286,1059,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-06-30,114,78.14285714,1173,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-01,137,90.57142857,1310,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-02,126,100.7142857,1436,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-03,132,110.4285714,1568,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-04,163,120,1731,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-05,184,133.4285714,1915,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-06,177,147.5714286,2092,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-07,184,157.5714286,2276,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-08,245,173,2521,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-09,191,182.2857143,2712,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-10,222,195.1428571,2934,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-11,346,221.2857143,3280,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-12,237,228.8571429,3517,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-13,273,242.5714286,3790,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-14,300,259.1428571,4090,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-15,350,274.1428571,4440,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-16,256,283.4285714,4696,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-17,250,287.4285714,4946,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-18,408,296.2857143,5354,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-19,327,309.1428571,5681,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-20,369,322.8571429,6050,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-21,336,328,6386,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-22,357,329,6743,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-23,309,336.5714286,7052,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-24,322,346.8571429,7374,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-25,518,362.5714286,7892,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-26,401,373.1428571,8293,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-27,462,386.4285714,8755,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-28,438,401,9193,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-29,456,415.1428571,9649,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-30,369,423.7142857,10018,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-07-31,357,428.7142857,10375,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-08-01,629,444.5714286,11004,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-08-02,474,455,11478,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-08-03,453,453.7142857,11931,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-08-04,434,453.1428571,12365,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
2022-08-05,487,457.5714286,12852,Data as Reported to CDC as of 15 Feb 2023 2:00 PM EDT,2023-02-17
