EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT,CaseRollNBR
2022-05-10,1,0,1,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-11,5,0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-12,0,0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-13,0,0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-14,0,0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-15,2,0,8,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,
2022-05-16,7,2.142857143,15,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.14285714285714
2022-05-17,3,2.428571429,18,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2022-05-18,2,2,20,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2022-05-19,3,2.428571429,23,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2022-05-20,0,2.428571429,23,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2022-05-21,1,2.571428571,24,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.57142857142857
2022-05-22,1,2.428571429,25,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2022-05-23,3,1.857142857,28,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.85714285714286
2022-05-24,4,2,32,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2022-05-25,2,2,34,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2
2022-05-26,2,1.857142857,36,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,1.85714285714286
2022-05-27,4,2.428571429,40,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.42857142857143
2022-05-28,0,2.285714286,40,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,2.28571428571429
2022-05-29,6,3,46,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3
2022-05-30,8,3.714285714,54,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3.71428571428571
2022-05-31,5,3.857142857,59,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,3.85714285714286
2022-06-01,9,4.857142857,68,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,4.85714285714286
2022-06-02,13,6.428571429,81,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,6.42857142857143
2022-06-03,7,6.857142857,88,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,6.85714285714286
2022-06-04,5,7.571428571,93,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,7.57142857142857
2022-06-05,6,7.571428571,99,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,7.57142857142857
2022-06-06,20,9.285714286,119,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,9.28571428571429
2022-06-07,19,11.28571429,138,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,11.2857142857143
2022-06-08,12,11.71428571,150,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,11.7142857142857
2022-06-09,6,10.71428571,156,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,10.7142857142857
2022-06-10,24,13.14285714,180,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,13.1428571428571
2022-06-11,11,14,191,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,14
2022-06-12,27,17,218,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,17
2022-06-13,25,17.71428571,243,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,17.7142857142857
2022-06-14,26,18.71428571,269,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,18.7142857142857
2022-06-15,33,21.71428571,302,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,21.7142857142857
2022-06-16,26,24.57142857,328,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,24.5714285714286
2022-06-17,33,25.85714286,361,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,25.8571428571429
2022-06-18,26,28,387,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,28
2022-06-19,36,29.28571429,423,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,29.2857142857143
2022-06-20,42,31.71428571,465,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,31.7142857142857
2022-06-21,43,34.14285714,508,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,34.1428571428571
2022-06-22,62,38.28571429,570,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,38.2857142857143
2022-06-23,56,42.57142857,626,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,42.5714285714286
2022-06-24,50,45,676,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,45
2022-06-25,55,49.14285714,731,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,49.1428571428572
2022-06-26,65,53.28571429,796,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2023-03-26,53.2857142857143
